node_index,x_coordinate,velocity
0,0.0,1.0
1,0.125,-0.6720567944307858
2,0.25,-0.26644014326293847
3,0.375,0.10340150243048232
4,0.5,0.4498978238213358
5,0.625,0.7836544059766917
6,0.75,1.1122107586900891
7,0.875,1.4415061422363589
8,1.0,1.0
