node_index,x_coordinate,velocity
0,0.0,1.0
1,0.125,1.1138372369570932
2,0.25,1.2172405842068796
3,0.375,1.3112982128056334
4,0.5,1.3956427622124163
5,0.625,1.4686129239550874
6,0.75,1.527561642402691
7,0.875,1.558018184920488
8,1.0,1.0
