node_index,x_coordinate,velocity
0,0.0,4.260972881491914e-33
1,0.125,0.398009673151726
2,0.25,0.5675725739767097
3,0.375,0.6316119178068824
4,0.5,0.6430067633972241
5,0.625,0.6437328469703067
6,0.75,0.6437438196812425
7,0.875,0.6422858260623137
8,1.0,0.0
