node_index,x_coordinate,velocity,forcing
0,0.0,-9.062332246130097e-33,1.0
1,0.003484320557491289,0.020171463532058096,1.0
2,0.006968641114982578,0.03926443972283251,1.0
3,0.010452961672473868,0.057395999025385364,1.0
4,0.013937282229965157,0.0746658418535444,1.0
5,0.017421602787456445,0.09115946221009674,1.0
6,0.020905923344947737,0.10695063921377294,1.0
7,0.024390243902439025,0.12210341789627792,1.0
8,0.027874564459930314,0.13667369775991955,1.0
9,0.0313588850174216,0.15071051712408132,1.0
10,0.03484320557491289,0.16425709937122687,1.0
11,0.03832752613240418,0.1773517112461061,1.0
12,0.041811846689895474,0.19002837161595024,1.0
13,0.04529616724738676,0.20231744036421268,1.0
14,0.04878048780487805,0.2142461105315178,1.0
15,0.05226480836236934,0.2258388218481936,1.0
16,0.05574912891986063,0.23711761000586276,1.0
17,0.059233449477351915,0.2481024030912753,1.0
18,0.0627177700348432,0.25881127433636053,1.0
19,0.06620209059233449,0.26926065856507586,1.0
20,0.06968641114982578,0.279465538322363,1.0
21,0.07317073170731707,0.2894396045657553,1.0
22,0.07665505226480836,0.29919539592012495,1.0
23,0.08013937282229965,0.3087444197909759,1.0
24,0.08362369337979095,0.3180972580636905,1.0
25,0.08710801393728224,0.3272636596561864,1.0
26,0.09059233449477352,0.33625262181812715,1.0
27,0.09407665505226481,0.3450724617637643,1.0
28,0.0975609756097561,0.353730879974091,1.0
29,0.10104529616724739,0.3622350162965938,1.0
30,0.10452961672473868,0.3705914997990961,1.0
31,0.10801393728222997,0.3788064931913024,1.0
32,0.11149825783972125,0.38688573250837704,1.0
33,0.11498257839721254,0.39483456265094524,1.0
34,0.11846689895470383,0.4026579692918692,1.0
35,0.12195121951219512,0.4103606075892579,1.0
36,0.1254355400696864,0.4179468280851635,1.0
37,0.1289198606271777,0.4254207001184735,1.0
38,0.13240418118466898,0.4327860330371284,1.0
39,0.13588850174216027,0.44004639545774715,1.0
40,0.13937282229965156,0.44720513278902047,1.0
41,0.14285714285714285,0.45426538320799364,1.0
42,0.14634146341463414,0.4612300922549136,1.0
43,0.14982578397212543,0.4681020261920817,1.0
44,0.15331010452961671,0.47488378425465455,1.0
45,0.156794425087108,0.48157780990616134,1.0
46,0.1602787456445993,0.48818640119832374,1.0
47,0.16376306620209058,0.4947117203232858,1.0
48,0.1672473867595819,0.5011558024363475,1.0
49,0.17073170731707318,0.5075205638185373,1.0
50,0.17421602787456447,0.5138078094406918,1.0
51,0.17770034843205576,0.5200192399839811,1.0
52,0.18118466898954705,0.526156458365899,1.0
53,0.18466898954703834,0.5322209758155286,1.0
54,0.18815331010452963,0.5382142175372999,1.0
55,0.1916376306620209,0.5441375279983895,1.0
56,0.1951219512195122,0.5499921758713234,1.0
57,0.1986062717770035,0.5557793586601572,1.0
58,0.20209059233449478,0.5615002070357804,1.0
59,0.20557491289198607,0.5671557889033797,1.0
60,0.20905923344947736,0.5727471132228562,1.0
61,0.21254355400696864,0.5782751336010029,1.0
62,0.21602787456445993,0.5837407516724642,1.0
63,0.21951219512195122,0.5891448202849128,1.0
