node_index,x_coordinate,velocity,forcing
0,0.0,1.0,1.0
1,0.001841620626151013,1.0018224028737408,1.0
2,0.003683241252302026,1.0036415807407928,1.0
3,0.0055248618784530384,1.0054575494631446,1.0
4,0.007366482504604052,1.007270324678128,1.0
5,0.009208103130755065,1.0090799217950912,1.0
6,0.011049723756906077,1.0108863559923398,1.0
7,0.01289134438305709,1.0126896422144689,1.0
8,0.014732965009208104,1.0144897951702152,1.0
9,0.016574585635359115,1.01628682933096,1.0
10,0.01841620626151013,1.0180807589300194,1.0
11,0.020257826887661142,1.0198715979628514,1.0
12,0.022099447513812154,1.0216593601883013,1.0
13,0.02394106813996317,1.02344405913101,1.0
14,0.02578268876611418,1.025225708085087,1.0
15,0.027624309392265196,1.0270043201191486,1.0
16,0.029465930018416207,1.0287799080828008,1.0
17,0.03130755064456722,1.0305524846146392,1.0
18,0.03314917127071823,1.0323220621518132,1.0
19,0.034990791896869246,1.0340886529411986,1.0
20,0.03683241252302026,1.0358522690521896,1.0
21,0.03867403314917127,1.0376129223911226,1.0
22,0.040515653775322284,1.0393706247173118,1.0
23,0.0423572744014733,1.0411253876606712,1.0
24,0.04419889502762431,1.0428772227408771,1.0
25,0.04604051565377532,1.0446261413880114,1.0
26,0.04788213627992634,1.0463721549646108,1.0
27,0.04972375690607735,1.0481152747890365,1.0
28,0.05156537753222836,1.0498555121600666,1.0
29,0.053406998158379376,1.0515928783825976,1.0
30,0.05524861878453039,1.053327384794341,1.0
31,0.0570902394106814,1.055059042793382,1.0
32,0.058931860036832415,1.0567878638664714,1.0
33,0.06077348066298343,1.0585138596179031,1.0
34,0.06261510128913444,1.0602370417988392,1.0
35,0.06445672191528545,1.0619574223369286,1.0
36,0.06629834254143646,1.0636750133660708,1.0
37,0.06813996316758748,1.0653898272561735,1.0
38,0.06998158379373849,1.0671018766427494,1.0
39,0.0718232044198895,1.0688111744562052,1.0
40,0.07366482504604052,1.070517733950672,1.0
41,0.07550644567219153,1.0722215687322314,1.0
42,0.07734806629834254,1.0739226927863974,1.0
43,0.07918968692449356,1.075621120504715,1.0
44,0.08103130755064457,1.0773168667103454,1.0
45,0.08287292817679558,1.0790099466825114,1.0
46,0.0847145488029466,1.0807003761796832,1.0
47,0.0865561694290976,1.0823881714613954,1.0
48,0.08839779005524862,1.084073349308587,1.0
49,0.09023941068139964,1.0857559270423682,1.0
50,0.09208103130755065,1.08743592254113,1.0
51,0.09392265193370167,1.089113354255909,1.0
52,0.09576427255985268,1.0907882412239398,1.0
53,0.09760589318600368,1.0924606030803328,1.0
54,0.0994475138121547,1.0941304600678199,1.0
55,0.10128913443830571,1.095797833044523,1.0
56,0.10313075506445672,1.0974627434897093,1.0
57,0.10497237569060774,1.0991252135075011,1.0
58,0.10681399631675875,1.1007852658285269,1.0
59,0.10865561694290976,1.1024429238094893,1.0
60,0.11049723756906078,1.1040982114306603,1.0
61,0.11233885819521179,1.105751153291294,1.0
62,0.1141804788213628,1.1074017746029763,1.0
63,0.11602209944751382,1.1090501011809255,1.0
64,0.11786372007366483,1.1106961594332716,1.0
65,0.11970534069981584,1.112339976348343,1.0
66,0.12154696132596686,1.1139815794800008,1.0
67,0.12338858195211787,1.115620996931063,1.0
68,0.1252302025782689,1.117258257334869,1.0
69,0.1270718232044199,1.1188933898350375,1.0
70,0.1289134438305709,1.1205264240634785,1.0
71,0.13075506445672191,1.1221573901167203,1.0
72,0.13259668508287292,1.1237863185306243,1.0
73,0.13443830570902396,1.1254132402535515,1.0
74,0.13627992633517497,1.127038186618062,1.0
75,0.13812154696132597,1.1286611893112206,1.0
76,0.13996316758747698,1.130282280343591,1.0
77,0.141804788213628,1.1319014920169985,1.0
78,0.143646408839779,1.1335188568911476,1.0
79,0.14548802946593004,1.1351344077491772,1.0
80,0.14732965009208104,1.136748177562243,1.0
81,0.14917127071823205,1.1383601994532129,1.0
82,0.15101289134438306,1.1399705066595625,1.0
83,0.15285451197053407,1.1415791324955622,1.0
84,0.15469613259668508,1.14318611031384,1.0
85,0.1565377532228361,1.1447914734664117,1.0
86,0.15837937384898712,1.146395255265263,1.0
87,0.16022099447513813,1.147997488942573,1.0
88,0.16206261510128914,1.1495982076106623,1.0
89,0.16390423572744015,1.1511974442217496,1.0
90,0.16574585635359115,1.1527952315276038,1.0
91,0.1675874769797422,1.154391602039168,1.0
92,0.1694290976058932,1.1559865879862379,1.0
93,0.1712707182320442,1.1575802212772717,1.0
94,0.1731123388581952,1.1591725334594052,1.0
95,0.17495395948434622,1.1607635556787494,1.0
96,0.17679558011049723,1.1623533186410373,1.0
97,0.17863720073664827,1.1639418525726906,1.0
98,0.18047882136279927,1.1655291871823712,1.0
99,0.18232044198895028,1.1671153516230839,1.0
100,0.1841620626151013,1.1687003744548858,1.0
101,0.1860036832412523,1.170284283608265,1.0
102,0.18784530386740333,1.171867106348241,1.0
103,0.18968692449355434,1.1734488692392417,1.0
104,0.19152854511970535,1.175029598110802,1.0
105,0.19337016574585636,1.1766093180241368,1.0
106,0.19521178637200737,1.1781880532396263,1.0
107,0.19705340699815838,1.1797658271852582,1.0
108,0.1988950276243094,1.181342662426064,1.0
109,0.20073664825046042,1.1829185806345814,1.0
110,0.20257826887661143,1.184493602562382,1.0
111,0.20441988950276244,1.186067748012686,1.0
112,0.20626151012891344,1.1876410358140954,1.0
113,0.20810313075506445,1.1892134837954678,1.0
114,0.2099447513812155,1.1907851087619545,1.0
115,0.2117863720073665,1.1923559264722168,1.0
116,0.2136279926335175,1.1939259516168417,1.0
117,0.2154696132596685,1.195495197797967,1.0
118,0.21731123388581952,1.1970636775101298,1.0
119,0.21915285451197053,1.198631402122342,1.0
120,0.22099447513812157,1.200198381861408,1.0
121,0.22283609576427257,1.201764625796476,1.0
122,0.22467771639042358,1.2033301418248403,1.0
123,0.2265193370165746,1.2048949366589794,1.0
124,0.2283609576427256,1.2064590158148378,1.0
125,0.2302025782688766,1.208022383601344,1.0
126,0.23204419889502764,1.2095850431111577,1.0
127,0.23388581952117865,1.2111469962126393,1.0
128,0.23572744014732966,1.2127082435430343,1.0
129,0.23756906077348067,1.214268784502857,1.0
130,0.23941068139963168,1.215828617251464,1.0
131,0.2412523020257827,1.2173877387038041,1.0
132,0.24309392265193372,1.218946144528325,1.0
133,0.24493554327808473,1.220503829146025,1.0
134,0.24677716390423574,1.2220607857306276,1.0
135,0.24861878453038674,1.2236170062098617,1.0
136,0.2504604051565378,1.2251724812678275,1.0
137,0.2523020257826888,1.2267272003484253,1.0
138,0.2541436464088398,1.2282811516598262,1.0
139,0.2559852670349908,1.2298343221799615,1.0
140,0.2578268876611418,1.2313866976630061,1.0
141,0.2596685082872928,1.2329382626468324,1.0
142,0.26151012891344383,1.2344890004614106,1.0
143,0.26335174953959484,1.2360388932381263,1.0
144,0.26519337016574585,1.2375879219199917,1.0
145,0.26703499079189685,1.239136066272724,1.0
146,0.2688766114180479,1.2406833048966635,1.0
147,0.2707182320441989,1.2422296152395016,1.0
148,0.27255985267034993,1.243774973609796,1.0
149,0.27440147329650094,1.245319355191241,1.0
150,0.27624309392265195,1.2468627340576648,1.0
151,0.27808471454880296,1.2484050831887312,1.0
152,0.27992633517495397,1.2499463744863095,1.0
153,0.281767955801105,1.2514865787914906,1.0
154,0.283609576427256,1.2530256659022194,1.0
155,0.285451197053407,1.2545636045915125,1.0
156,0.287292817679558,1.2561003626262386,1.0
157,0.289134438305709,1.2576359067864287,1.0
158,0.29097605893186007,1.2591702028850913,1.0
159,0.2928176795580111,1.2607032157885054,1.0
160,0.2946593001841621,1.2622349094369614,1.0
161,0.2965009208103131,1.2637652468659253,1.0
162,0.2983425414364641,1.2652941902276,1.0
163,0.3001841620626151,1.2668217008128548,1.0
164,0.3020257826887661,1.2683477390735,1.0
165,0.30386740331491713,1.269872264644879,1.0
166,0.30570902394106814,1.2713952363687546,1.0
167,0.30755064456721914,1.2729166123164624,1.0
168,0.30939226519337015,1.274436349812309,1.0
169,0.3112338858195212,1.2759544054571916,1.0
170,0.3130755064456722,1.277470735152412,1.0
171,0.31491712707182323,1.2789852941236668,1.0
172,0.31675874769797424,1.280498036945189,1.0
173,0.31860036832412525,1.2820089175640184,1.0
174,0.32044198895027626,1.2835178893243804,1.0
175,0.32228360957642727,1.285024904992153,1.0
176,0.3241252302025783,1.2865299167794013,1.0
177,0.3259668508287293,1.2880328763689575,1.0
178,0.3278084714548803,1.28953373493903,1.0
179,0.3296500920810313,1.2910324431878222,1.0
180,0.3314917127071823,1.2925289513581422,1.0
181,0.33333333333333337,1.2940232092619843,1.0
182,0.3351749539594844,1.2955151663050697,1.0
183,0.3370165745856354,1.2970047715113235,1.0
184,0.3388581952117864,1.2984919735472782,1.0
185,0.3406998158379374,1.2999767207463835,1.0
