node_index,x_coordinate,velocity
0,0.0,1.0
1,0.0625,1.0295094229284378
2,0.125,1.0380738057766978
3,0.1875,1.0406009188840513
4,0.25,1.041350190241582
5,0.3125,1.0415726582079026
6,0.375,1.0416387391626636
7,0.4375,1.041658369925409
8,0.5,1.041664201850798
9,0.5625,1.0416659344150432
10,0.625,1.0416664491290473
11,0.6875,1.041666602040805
12,0.75,1.0416666474677714
13,0.8125,1.041666660959768
14,0.875,1.0416666571427244
15,0.9375,1.0416484570335796
16,1.0,1.0
