node_index,x_coordinate,velocity,forcing
0,0.0,-6.41671142045193e-34,1.0
1,0.003484320557491289,0.01997121441956398,1.0
2,0.006968641114982578,0.03886275420812096,1.0
3,0.010452961672473868,0.05679067188077236,1.0
4,0.013937282229965157,0.07385380259665654,1.0
5,0.017421602787456445,0.09013689421529097,1.0
6,0.020905923344947737,0.10571307350058681,1.0
7,0.024390243902439025,0.12064580762639311,1.0
8,0.027874564459930314,0.13499047790785668,1.0
9,0.0313588850174216,0.14879565266537165,1.0
10,0.03484320557491289,0.16210412451847586,1.0
11,0.03832752613240418,0.17495376166632456,1.0
12,0.041811846689895474,0.18737821111920416,1.0
13,0.04529616724738676,0.19940748322083932,1.0
14,0.04878048780487805,0.21106844032272015,1.0
15,0.05226480836236934,0.2223852075614542,1.0
16,0.05574912891986063,0.2333795199371156,1.0
17,0.059233449477351915,0.24407101699918013,1.0
18,0.0627177700348432,0.2544774942023657,1.0
19,0.06620209059233449,0.26461511824036993,1.0
20,0.06968641114982578,0.2744986122849628,1.0
21,0.07317073170731707,0.28414141596460524,1.0
22,0.07665505226480836,0.29355582404574115,1.0
23,0.08013937282229965,0.3027531070819927,1.0
24,0.08362369337979095,0.31174361673422085,1.0
25,0.08710801393728224,0.32053687800908665,1.0
26,0.09059233449477352,0.32914167029319336,1.0
27,0.09407665505226481,0.3375660987568969,1.0
28,0.0975609756097561,0.3458176574530093,1.0
29,0.10104529616724739,0.3539032852303266,1.0
30,0.10452961672473868,0.361829415411866,1.0
31,0.10801393728222997,0.3696020200462823,1.0
32,0.11149825783972125,0.37722664942288275,1.0
33,0.11498257839721254,0.3847084674417566,1.0
34,0.11846689895470383,0.3920522833473747,1.0
35,0.12195121951219512,0.39926258026386546,1.0
36,0.1254355400696864,0.40634354091079444,1.0
37,0.1289198606271777,0.41329907082786854,1.0
38,0.13240418118466898,0.42013281939405456,1.0
39,0.13588850174216027,0.42684819888993913,1.0
40,0.13937282229965156,0.43344840182075517,1.0
41,0.14285714285714285,0.43993641669053035,1.0
42,0.14634146341463414,0.4463150423945911,1.0
43,0.14982578397212543,0.45258690137760627,1.0
44,0.15331010452961671,0.45875445168700574,1.0
45,0.156794425087108,0.46481999803655,1.0
46,0.1602787456445993,0.47078570198174186,1.0
47,0.16376306620209058,0.4766535912973532,1.0
48,0.1672473867595819,0.4824255686373725,1.0
49,0.17073170731707318,0.48810341954894537,1.0
50,0.17421602787456447,0.4936888199042164,1.0
51,0.17770034843205576,0.49918334280723997,1.0
52,0.18118466898954705,0.5045884650271795,1.0
53,0.18466898954703834,0.5099055730037646,1.0
54,0.18815331010452963,0.5151359684663184,1.0
55,0.1916376306620209,0.5202808737035329,1.0
56,0.1951219512195122,0.5253414365174931,1.0
57,0.1986062717770035,0.5303187348921622,1.0
58,0.20209059233449478,0.5352137814036003,1.0
59,0.20557491289198607,0.5400275273965496,1.0
60,0.20905923344947736,0.54476086694964,1.0
61,0.21254355400696864,0.549414640649323,1.0
62,0.21602787456445993,0.5539896391906929,1.0
63,0.21951219512195122,0.5584866068215841,1.0
64,0.2229965156794425,0.5629062446447168,1.0
65,0.2264808362369338,0.5672492137911783,1.0
66,0.22996515679442509,0.5715161384771681,1.0
67,0.23344947735191637,0.5757076089546656,1.0
68,0.23693379790940766,0.5798241843655213,1.0
69,0.24041811846689895,0.5838663955073718,1.0
70,0.24390243902439024,0.5878347475187682,1.0
71,0.24738675958188153,0.5917297224899472,1.0
72,0.2508710801393728,0.5955517820047757,1.0
73,0.25435540069686413,0.5993013696185486,1.0
74,0.2578397212543554,0.602978913275513,1.0
75,0.2613240418118467,0.6065848276692302,1.0
76,0.26480836236933797,0.610119516548157,1.0
77,0.2682926829268293,0.6135833749681421,1.0
78,0.27177700348432055,0.6169767914928712,1.0
79,0.27526132404181186,0.6203001503426752,1.0
80,0.2787456445993031,0.6235538334915246,1.0
81,0.28222996515679444,0.6267382227114738,1.0
82,0.2857142857142857,0.6298537015632955,1.0
83,0.289198606271777,0.6329006573315559,1.0
84,0.2926829268292683,0.635879482901927,1.0
85,0.2961672473867596,0.638790578578115,1.0
86,0.29965156794425085,0.6416343538354076,1.0
87,0.30313588850174217,0.6444112290075076,1.0
88,0.30662020905923343,0.6471216369030286,1.0
89,0.31010452961672474,0.6497660243477835,1.0
90,0.313588850174216,0.6523448536487996,1.0
91,0.3170731707317073,0.6548586039758488,1.0
92,0.3205574912891986,0.6573077726561903,1.0
93,0.3240418118466899,0.6596928763781819,1.0
94,0.32752613240418116,0.6620144522994371,1.0
95,0.3310104529616725,0.6642730590552833,1.0
96,0.3344947735191638,0.6664692776634061,1.0
97,0.33797909407665505,0.6686037123207638,1.0
98,0.34146341463414637,0.6706769910891038,1.0
99,0.34494773519163763,0.6726897664657285,1.0
100,0.34843205574912894,0.6746427158365167,1.0
101,0.3519163763066202,0.6765365418086339,1.0
102,0.3554006968641115,0.6783719724208347,1.0
