node_index,x_coordinate,velocity,forcing
0,0.0,-4.473982627779593e-27,1.0
1,0.003484320557491289,0.016913237054106068,1.0
2,0.006968641114982578,0.03272493194071193,1.0
3,0.010452961672473868,0.047534117343532335,1.0
4,0.013937282229965157,0.061427151604415836,1.0
5,0.017421602787456445,0.07447982766895486,1.0
6,0.020905923344947737,0.0867590633164063,1.0
7,0.024390243902439025,0.09832426743166632,1.0
8,0.027874564459930314,0.10922845324416887,1.0
9,0.0313588850174216,0.1195191521754734,1.0
10,0.03484320557491289,0.12923916926173007,1.0
11,0.03832752613240418,0.13842721172238784,1.0
12,0.041811846689895474,0.14711841521431765,1.0
13,0.04529616724738676,0.15534478699789786,1.0
14,0.04878048780487805,0.16313558119302476,1.0
15,0.05226480836236934,0.17051761819234304,1.0
16,0.05574912891986063,0.1775155578904113,1.0
17,0.059233449477351915,0.1841521345088867,1.0
18,0.0627177700348432,0.19044835932235313,1.0
19,0.06620209059233449,0.1964236964229748,1.0
20,0.06968641114982578,0.20209621573424894,1.0
21,0.07317073170731707,0.20748272674158666,1.0
22,0.07665505226480836,0.21259889580988042,1.0
23,0.08013937282229965,0.21745934947472198,1.0
24,0.08362369337979095,0.22207776570072435,1.0
25,0.08710801393728224,0.22646695477904802,1.0
26,0.09059233449477352,0.23063893127236654,1.0
27,0.09407665505226481,0.23460497819787893,1.0
28,0.0975609756097561,0.23837570445870337,1.0
29,0.10104529616724739,0.24196109638405133,1.0
30,0.10452961672473868,0.24537056411337876,1.0
31,0.10801393728222997,0.24861298345477037,1.0
32,0.11149825783972125,0.25169673375953466,1.0
33,0.11498257839721254,0.2546297322804667,1.0
34,0.11846689895470383,0.25741946541812083,1.0
35,0.12195121951219512,0.26007301720580595,1.0
36,0.1254355400696864,0.26259709533830927,1.0
37,0.1289198606271777,0.2649980550102828,1.0
38,0.13240418118466898,0.2672819207967326,1.0
39,0.13588850174216027,0.2694544067792608,1.0
40,0.13937282229965156,0.271520935096897,1.0
41,0.14285714285714285,0.27348665307891673,1.0
42,0.14634146341463414,0.2753564490984777,1.0
43,0.14982578397212543,0.2771349672697844,1.0
44,0.15331010452961671,0.27882662109746825,1.0
45,0.156794425087108,0.2804356061746402,1.0
46,0.1602787456445993,0.2819659120153904,1.0
47,0.16376306620209058,0.28342133309815354,1.0
48,0.1672473867595819,0.284805479188155,1.0
49,0.17073170731707318,0.28612178499994023,1.0
50,0.17421602787456447,0.28737351925464427,1.0
51,0.17770034843205576,0.28856379318105846,1.0
52,0.18118466898954705,0.2896955685046062,1.0
53,0.18466898954703834,0.29077166496396384,1.0
54,0.18815331010452963,0.29179476739118637,1.0
55,0.1916376306620209,0.29276743238775366,1.0
56,0.1951219512195122,0.293692094625895,1.0
57,0.1986062717770035,0.2945710728018262,1.0
58,0.20209059233449478,0.29540657526510355,1.0
59,0.20557491289198607,0.2962007053461351,1.0
60,0.20905923344947736,0.29695546640194675,1.0
61,0.21254355400696864,0.2976727665985708,1.0
