stat,x_00,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,x_09,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,cross,reynolds,temporal_l,temporal_r,viscous
x_mean,0.8980402735276631,1.0688730573595868,1.241024966757207,1.2410249667572073,0.8951892673021822,1.0649433140130038,1.235916953049542,1.235916953049542,0.8922126935285776,1.060866333745308,1.2306418290193117,1.2306418290193117,0.22808049803846894,0.31437946772661424,0.40864109661323594,0.40864109661323594,0.75,0.875,1.0,1.0,,,,,
x_std,0.532836310960176,0.4298004499699902,0.1680504908357204,0.16805049083572052,0.5312086286356628,0.42835097690958807,0.1678143305890478,0.16781433058904777,0.5295321903108311,0.42688143129667616,0.16766708857842844,0.16766708857842844,0.34757964379055184,0.38486792414491433,0.4007770225774193,0.40077702257741926,0.4330127018922193,0.33071891388307384,1.0,1.0,,,,,
y_mean,,,,,,,,,,,,,,,,,,,,,0.016356217600302893,0.0009052139703590616,0.0014615938487596008,0.0017946146909528628,-0.0019567628605731495
y_std,,,,,,,,,,,,,,,,,,,,,0.04464624807425431,0.003201148549530919,0.003991376653060952,0.004832043387070389,0.006162160696544642
