x_00,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,x_09,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19
0.0,0.0,1.0,1.0465652562050811,0.0,0.0,1.0,1.0362290576372448,0.0,0.0,1.0,1.0246991587558023,0.0,0.0,0.0,0.8268958854269037,0.0,0.0,1.0,1.0
0.0,1.0,1.0465652562050811,1.0499459565783684,0.0,1.0,1.0362290576372448,1.0374889694257605,0.0,1.0,1.0246991587558023,1.0249985664620849,0.0,0.0,0.8268958854269037,0.9965589722086321,0.0,1.0,1.0,1.0
1.0,1.0465652562050811,1.0499459565783684,1.0499995495200687,1.0,1.0362290576372448,1.0374889694257605,1.0374999377829184,1.0,1.0246991587558023,1.0249985664620849,1.024999994480247,0.0,0.8268958854269037,0.9965589722086321,0.9999689389720245,1.0,1.0,1.0,1.0
1.0465652562050811,1.0499459565783684,1.0499995495200687,1.0499999972272847,1.0362290576372448,1.0374889694257605,1.0374999377829184,1.037499999712519,1.0246991587558023,1.0249985664620849,1.024999994480247,1.0249999999807242,0.8268958854269037,0.9965589722086321,0.9999689389720245,0.9999998011812572,1.0,1.0,1.0,1.0
1.0499459565783684,1.0499995495200687,1.0499999972272847,1.049999999789816,1.0374889694257605,1.0374999377829184,1.037499999712519,1.0374999999704024,1.0249985664620849,1.024999994480247,1.0249999999807242,1.0249999999972896,0.9965589722086321,0.9999689389720245,0.9999998011812572,0.9999999855530817,1.0,1.0,1.0,1.0
1.0499995495200687,1.0499999972272847,1.049999999789816,1.0499996897029122,1.0374999377829184,1.037499999712519,1.0374999999704024,1.0374999345342377,1.024999994480247,1.0249999999807242,1.0249999999972896,1.024999991209439,0.9999689389720245,0.9999998011812572,0.9999999855530817,0.9999804134939616,1.0,1.0,1.0,1.0
1.0499999972272847,1.049999999789816,1.0499996897029122,1.049739045779629,1.037499999712519,1.0374999999704024,1.0374999345342377,1.0374018774205602,1.0249999999807242,1.0249999999972896,1.024999991209439,1.0249764051240449,0.9999998011812572,0.9999999855530817,0.9999804134939616,0.9869734687254983,1.0,1.0,1.0,1.0
1.049999999789816,1.0499996897029122,1.049739045779629,1.0,1.0374999999704024,1.0374999345342377,1.0374018774205602,1.0,1.0249999999972896,1.024999991209439,1.0249764051240449,1.0,0.9999999855530817,0.9999804134939616,0.9869734687254983,0.0,1.0,1.0,1.0,1.0
0.0,0.0,1.0,1.0555529871005789,0.0,0.0,1.0,1.0465652562050811,0.0,0.0,1.0,1.0362290576372448,0.0,0.0,0.0,0.7190184716398207,0.0,0.0,1.0,1.0
0.0,1.0,1.0555529871005789,1.062308846669893,0.0,1.0,1.0465652562050811,1.0499459565783684,0.0,1.0,1.0362290576372448,1.0374889694257605,0.0,0.0,0.7190184716398207,0.9890312073219576,0.0,1.0,1.0,1.0
1.0,1.0555529871005789,1.062308846669893,1.0624976372108537,1.0,1.0465652562050811,1.0499459565783684,1.0499995495200687,1.0,1.0362290576372448,1.0374889694257605,1.0374999377829184,0.0,0.7190184716398207,0.9890312073219576,0.9998470152627981,1.0,1.0,1.0,1.0
1.0555529871005789,1.062308846669893,1.0624976372108537,1.0624999805247433,1.0465652562050811,1.0499459565783684,1.0499995495200687,1.0499999972272847,1.0362290576372448,1.0374889694257605,1.0374999377829184,1.037499999712519,0.7190184716398207,0.9890312073219576,0.9998470152627981,0.9999986637966884,1.0,1.0,1.0,1.0
1.062308846669893,1.0624976372108537,1.0624999805247433,1.062499998895753,1.0499459565783684,1.0499995495200687,1.0499999972272847,1.049999999789816,1.0374889694257605,1.0374999377829184,1.037499999712519,1.0374999999704024,0.9890312073219576,0.9998470152627981,0.9999986637966884,0.9999999284749705,1.0,1.0,1.0,1.0
1.0624976372108537,1.0624999805247433,1.062499998895753,1.0624989387890826,1.0499995495200687,1.0499999972272847,1.049999999789816,1.0499996897029122,1.0374999377829184,1.037499999712519,1.0374999999704024,1.0374999345342377,0.9998470152627981,0.9999986637966884,0.9999999284749705,0.9999399268936315,1.0,1.0,1.0,1.0
1.0624999805247433,1.062499998895753,1.0624989387890826,1.061980874639886,1.0499999972272847,1.049999999789816,1.0499996897029122,1.049739045779629,1.037499999712519,1.0374999999704024,1.0374999345342377,1.0374018774205602,0.9999986637966884,0.9999999284749705,0.9999399268936315,0.9793463088205634,1.0,1.0,1.0,1.0
1.062499998895753,1.0624989387890826,1.061980874639886,1.0,1.049999999789816,1.0499996897029122,1.049739045779629,1.0,1.0374999999704024,1.0374999345342377,1.0374018774205602,1.0,0.9999999284749705,0.9999399268936315,0.9793463088205634,0.0,1.0,1.0,1.0,1.0
0.0,0.0,1.0,1.0633157541900828,0.0,0.0,1.0,1.0555529871005789,0.0,0.0,1.0,1.0465652562050811,0.0,0.0,0.0,0.6210213671603171,0.0,0.0,1.0,1.0
0.0,1.0,1.0633157541900828,1.0744735515612822,0.0,1.0,1.0555529871005789,1.062308846669893,0.0,1.0,1.0465652562050811,1.0499459565783684,0.0,0.0,0.6210213671603171,0.9731763913111457,0.0,1.0,1.0,1.0
1.0,1.0633157541900828,1.0744735515612822,1.074990390038881,1.0,1.0555529871005789,1.062308846669893,1.0624976372108537,1.0,1.0465652562050811,1.0499459565783684,1.0499995495200687,0.0,0.6210213671603171,0.9731763913111457,0.9994202262421936,1.0,1.0,1.0,1.0
1.0633157541900828,1.0744735515612822,1.074990390038881,1.0749998935859897,1.0555529871005789,1.062308846669893,1.0624976372108537,1.0624999805247433,1.0465652562050811,1.0499459565783684,1.0499995495200687,1.0499999972272847,0.6210213671603171,0.9731763913111457,0.9994202262421936,0.9999930448997141,1.0,1.0,1.0,1.0
1.0744735515612822,1.074990390038881,1.0749998935859897,1.074999995343912,1.062308846669893,1.0624976372108537,1.0624999805247433,1.062499998895753,1.0499459565783684,1.0499995495200687,1.0499999972272847,1.049999999789816,0.9731763913111457,0.9994202262421936,0.9999930448997141,0.999999715852713,1.0,1.0,1.0,1.0
