cross,reynolds,temporal_l,temporal_r,viscous
-0.351664536405756,-0.2827188976431374,-0.1620566156343915,-0.2158669002466011,0.25577618560746396
-0.27969151337607523,-0.2812073923909067,-0.21552696150204537,-0.23271531048601704,0.1761530532776442
-0.34320116107116283,-0.28259877876268175,-0.3682662117239055,-0.3779076448442069,0.3560235701139925
1.6108336056138763,0.8444232525914541,2.997602201854196,3.0093170474697497,-1.8606635382395922
-0.3460866755149252,-0.28269458560598737,-0.39174094675175025,-0.3933306025981397,0.3401004456751063
3.5892682831641847,3.557883939317172,2.657734618216684,2.7285159788166427,-3.540899187018756
-0.2951199546927277,-0.28105055178530175,-0.7120201833727964,-0.6515132612110873,0.44887208958987457
-0.3438441545389169,-0.2826594758294893,-0.3962860977139637,-0.3973738537231599,0.3892361696739108
-0.3415677187849428,-0.2826511291928,-0.22543260117630914,-0.25765456904378925,0.22159016598119868
-0.3314902579733372,-0.28244133646158764,-0.4521538878765969,-0.44527553986016116,0.4547510475364956
-0.3148646737834832,-0.2822765411174635,-0.4348112421005514,-0.4250557403750979,0.2828080776276083
-0.3201924898634212,-0.28225609106392074,-0.15752187172597765,-0.19546906479370404,0.268284233680277
-0.3256867192392112,-0.2822211685961834,-0.5026129086768442,-0.48120481790739184,0.4020466008703279
-0.3440299460027615,-0.28261128359677035,-0.36458755733759035,-0.3732709099992225,0.35046497330550613
-0.31263793167376824,-0.28208269771849764,-0.49750216628679994,-0.4787763474624292,0.4972726413704821
-0.21954903713866752,-0.2790587001408556,-0.2491616454456609,-0.2610388825509329,0.06885691042479457
-0.20668265452061252,-0.27892701522880126,-0.4168304501339792,-0.41001663932740734,0.10394677769217212
-0.31531285188520664,-0.28222868556596953,-0.46500681374302655,-0.45119762142652364,0.3831447531516627
-0.20109046144371667,-0.2785555776763125,-0.40532075929259237,-0.3971320390321095,0.0807438664332999
-0.36602518331952366,-0.28277783921437255,-0.36211773893567295,-0.3671852605553145,0.32190358012224884
-0.3661210031779076,-0.28277785453641074,-0.36288688252099466,-0.3678956063854299,0.3213896533553224
-0.33630448199115437,-0.2826316920510446,-0.41675718942596734,-0.41391411819127505,0.27503387649229405
1.1992064094748944,0.45863888497518296,2.8213623911382086,2.796633802089631,-1.4426604273496149
-0.34845633042542506,-0.28271303530880976,-0.38182506394075105,-0.38487477187112423,0.33399853763684856
-0.2648216349641834,-0.2807379273087383,-0.19892346045350331,-0.2204420423084198,0.14405807370067167
-0.21320853985134425,-0.2743119591235851,-0.5694467897950215,-0.23794283452913295,0.4590526952797398
-0.30424190987981903,-0.2818945650837926,-0.30773337791714434,-0.31279688562719676,0.3232716486744864
-0.33499580510724997,-0.2825764010767921,-0.43142877172180855,-0.4264777763647587,0.36345304356573016
-0.2918814260472317,-0.28136554012568077,-0.40828867714450473,-0.3913858663014259,0.5080036121295862
3.8271430358609835,3.9763135216854155,2.298148927845637,2.377179431405931,-3.6918650906802646
-0.36619857217924173,-0.2827778633557082,-0.3636301471414342,-0.36862796948213217,0.3207737332993488
-0.3663506603604635,-0.28277787061492604,-0.366150747463255,-0.37137473737267884,0.31748639358992703
-0.33865881232296663,-0.28263926875470335,-0.4181029727078873,-0.4151931963469663,0.30704094975751783
2.061766720408635,1.340775612716404,3.1765553724034374,3.193220466210374,-2.269240968761435
-0.24881256207391747,-0.2801798433947435,-0.19578814259401545,-0.2179266463874296,0.11266429976532759
-0.34446881869626483,-0.28266600039013917,-0.3933905618328444,-0.3948986219122156,0.38641911675586393
-0.3437767370500625,-0.2826376435207689,-0.38765882086512615,-0.3901816095567212,0.3968337638133353
-0.30563408710123807,-0.2815279784425114,-0.6408041557750783,-0.5952304032346368,0.4334313476596666
-0.3471736362223374,-0.2826767550089081,-0.36865930923030266,-0.3735799792365041,0.3785376659575205
-0.3470532501374349,-0.28268971904486084,-0.19767755689487856,-0.23843016200230738,0.22796820476966365
-0.310929085693126,-0.282185534943777,-0.40966718778613526,-0.4023752946342016,0.2674435747062636
-0.33594172975396286,-0.2825224641238424,-0.42957415246398895,-0.42619931526212074,0.4349279238932546
1.2785200872309115,0.5277019519248398,2.8550762258036175,2.8517489359274086,-1.5549500747923988
-0.33442293422188274,-0.2825926383036238,-0.4287887926175155,-0.4238498648392799,0.30615198658101395
-0.31801527934213325,-0.2822187802847328,-0.48796771562976476,-0.47224998808403645,0.4832641504367361
-0.3382364639122019,-0.28255982629667664,-0.41757415216012145,-0.41596591303114583,0.4242285019076778
-0.30314659827187646,-0.281898132062467,-0.40628278989987276,-0.3963550154235263,0.3606058827366367
-0.32049333460000634,-0.28242679183533126,-0.43093478329180473,-0.42371398108789804,0.2364894049862806
-0.34712647892816245,-0.282691652617969,-0.38074343245863307,-0.38403355982884296,0.37405347012557033
-0.2945193695268735,-0.2814856013472651,-0.45913589238669444,-0.43709945941058576,0.5182363524868501
-0.36391555476533166,-0.2827760951945974,-0.30196566039738576,-0.32638212367669084,0.29023731903415095
-0.29654706988896246,-0.2815663578951034,-0.4760020866574114,-0.45290542668091505,0.519885197743097
-0.30895067228606893,-0.2820724287495061,-0.45501067266543926,-0.44051912949696326,0.37970751995038643
-0.20779512139517192,-0.2789908772737134,-0.4161894940697296,-0.4098906894548417,0.10752811463730973
-0.20890785686500155,-0.27905308686296404,-0.41509696145601654,-0.4093490895963214,0.11096252950378416
-0.31496502111913244,-0.2822957464446517,-0.31258240521529074,-0.32219203662190166,0.1848205885841775
-0.34416836706465354,-0.28261331701906983,-0.3642160139968402,-0.3725255134354151,0.35004243675865165
-0.2100078569391931,-0.27911316490792654,-0.41364238810473825,-0.4084684864068103,0.11423768483122128
-0.3099835420212106,-0.2821438393997134,-0.3475595649199938,-0.3491901640436633,0.24190020047674954
-0.36576681568324465,-0.2827777752244163,-0.3600644921292406,-0.3655372845052357,0.3222123226646391
3.415360805988729,3.2644088833676475,2.864334267442883,2.9312340941708435,-3.4072843202671708
-0.2890783516484737,-0.28087647493957724,0.1690636842694667,0.09900996502143018,0.47376554596865955
-0.34455395118351256,-0.2826471670630404,-0.38335786404220606,-0.38644136027875475,0.39277903569350353
-0.3509027464517219,-0.2827203031344093,-0.21076127371626782,-0.2502732804222256,0.23653644112695432
-0.366314424868417,-0.2827778701949048,-0.36480413976585263,-0.3704816414772727,0.31609518908035816
-0.3311828599866033,-0.2825521087403254,-0.43545361650623177,-0.4290960941627892,0.3047481758856491
-0.20182631047213775,-0.2784276522191139,-0.3526128147003027,-0.34921372196288997,0.06217770968400755
-0.30148142819535084,-0.2817446786295601,-0.495778399870941,-0.4726414117483274,0.5174745057905707
-0.32054656719046554,-0.2822772756420477,-0.4819705608988168,-0.46777038941414306,0.47593214657167354
-0.35966739435786865,-0.2827635301009849,-0.17377417682272772,-0.23715344790184287,0.30441285605856583
-0.33312466545637837,-0.28247245511412045,-0.44397335281890904,-0.4383929784285494,0.4476100653357195
